year,exporter,flow,importer,resource,weight (kg),value (US$),exporterISO,importerISO,exporter continent,importer continent
2024,Germany,Export,Hungary,Coal,2178414.0,564621.602,DEU,HUN,Europe,Europe
2024,Germany,Export,Italy,Coal,673285.007,356765.588,DEU,ITA,Europe,Europe
2024,Germany,Export,Kazakhstan,Coal,23790.0,27059.512,DEU,KAZ,Europe,Asia
2024,Germany,Export,Latvia,Coal,350.0,432.952,DEU,LVA,Europe,Europe
2024,Germany,Export,Libya,Coal,87780.0,95249.48,DEU,LBY,Europe,Africa
2024,Germany,Export,Lithuania,Coal,12800.0,16097.162,DEU,LTU,Europe,Europe
2024,Germany,Export,Luxembourg,Coal,6070.0,11662.649,DEU,LUX,Europe,Europe
2024,Germany,Export,Malta,Coal,1996.0,3305.59,DEU,MLT,Europe,Europe
2024,Germany,Export,Mexico,Coal,370.014,75.767,DEU,MEX,Europe,North America
2024,Germany,Export,Morocco,Coal,36850000.0,2530146.586,DEU,MAR,Europe,Africa
2024,Germany,Export,Netherlands,Coal,41607056.286,3214321.44,DEU,NLD,Europe,Europe
2024,Germany,Export,Norway,Coal,132840.0,200771.834,DEU,NOR,Europe,Europe
2024,Germany,Export,Poland,Coal,25363630.0,10441901.808,DEU,POL,Europe,Europe
2024,Germany,Export,Portugal,Coal,43465.0,33447.721,DEU,PRT,Europe,Europe
2024,Germany,Export,Qatar,Coal,7700.0,10390.852,DEU,QAT,Europe,Asia
2024,Germany,Export,Romania,Coal,2168.0,2380.155,DEU,ROU,Europe,Europe
2024,Germany,Export,Rwanda,Coal,2135.0,32471.414,DEU,RWA,Europe,Africa
2024,Germany,Export,Saudi Arabia,Coal,444.016,90.92,DEU,SAU,Europe,Asia
2024,Germany,Export,Serbia,Coal,84299.0,117871.232,DEU,SRB,Europe,Europe
2024,Germany,Export,Slovenia,Coal,168430.0,90401.498,DEU,SVN,Europe,Europe
2024,Germany,Export,Spain,Coal,53833.0,58803.566,DEU,ESP,Europe,Europe
2024,Germany,Export,Sweden,Coal,1894159.0,1116711.403,DEU,SWE,Europe,Europe
2024,Germany,Export,Switzerland,Coal,1202912.0,781752.534,DEU,CHE,Europe,Europe
2024,Germany,Export,Thailand,Coal,338.0,336.62,DEU,THA,Europe,Asia
2024,Germany,Export,Tunisia,Coal,7000.0,9730.6,DEU,TUN,Europe,Africa
2024,Germany,Export,Türkiye,Coal,55077246.0,6116831.799,DEU,TUR,Europe,Asia
2024,Germany,Export,Ukraine,Coal,61810.0,75008.966,DEU,UKR,Europe,Europe
2024,Germany,Export,North Macedonia,Coal,3500.0,4437.76,DEU,MKD,Europe,Europe
2024,Germany,Export,Egypt,Coal,58500000.0,4955187.535,DEU,EGY,Europe,Africa
2024,Germany,Export,United Kingdom,Coal,1388.0,4027.538,DEU,GBR,Europe,Europe
2024,Greece,Export,Albania,Coal,14600.0,10996.985,GRC,ALB,Europe,Europe
2024,Greece,Export,Brazil,Coal,205.0,938.424,GRC,BRA,Europe,South America
2024,Greece,Export,Hungary,Coal,19030.0,12414.904,GRC,HUN,Europe,Europe
2024,Greece,Export,Poland,Coal,38000.0,33630.643,GRC,POL,Europe,Europe
2024,Greece,Export,Singapore,Coal,385.0,2825.013,GRC,SGP,Europe,Asia
2024,Germany,Export,Austria,Oil,1802250.0,749447.807,DEU,AUT,Europe,Europe
2024,Germany,Export,Brazil,Oil,0.0,7035.473,DEU,BRA,Europe,South America
2024,Greece,Export,Italy,Oil,21891500.0,10577858.535,GRC,ITA,Europe,Europe
2024,Greece,Export,Türkiye,Oil,59703800.0,32165626.167,GRC,TUR,Europe,Asia
2024,Guyana,Export,Bahamas,Oil,300000.0,24055484.604,GUY,BHS,South America,North America
2024,Guyana,Export,Barbados,Oil,1002000150.0,234100961.154,GUY,BRB,South America,North America
2024,Guyana,Export,Brazil,Oil,2005002080.0,558684021.277,GUY,BRA,South America,South America
2024,Guyana,Export,Colombia,Oil,1010560.0,85189945.478,GUY,COL,South America,South America
2024,Guyana,Export,Denmark,Oil,2000000000.0,159903254.664,GUY,DNK,South America,Europe
2024,Guyana,Export,France,Oil,1015173.0,89328834.005,GUY,FRA,South America,Europe
2024,Guyana,Export,Germany,Oil,4000000.0,317524796.784,GUY,DEU,South America,Europe
2024,Guyana,Export,Greece,Oil,2002000.0,157070089.475,GUY,GRC,South America,Europe
2024,Guyana,Export,Italy,Oil,1006710720.0,607458860.679,GUY,ITA,South America,Europe
2024,Guyana,Export,Netherlands,Oil,42323341.0,3440030409.636,GUY,NLD,South America,Europe
2024,Guyana,Export,Panama,Oil,1030514575.0,2535611825.164,GUY,PAN,South America,North America
2024,Guyana,Export,Poland,Oil,2000000.0,163344895.459,GUY,POL,South America,Europe
2024,Guyana,Export,Romania,Oil,1143000740.0,310091487.58,GUY,ROU,South America,Europe
2024,Guyana,Export,Saint Lucia,Oil,2034000.0,150396023.746,GUY,LCA,South America,North America
2024,Guyana,Export,Saudi Arabia,Oil,1000000000.0,73354953.053,GUY,SAU,South America,Asia
2024,Guyana,Export,Singapore,Oil,1013008313.0,1171094655.42,GUY,SGP,South America,Asia
