Year,Price,Country,Fuel,countryISO
2020,398.23,Austria,Petrol,AUT
2020,399.06,Austria,Petrol,AUT
2020,396.56,Austria,Petrol,AUT
2020,398.23,Austria,Petrol,AUT
2020,399.06,Austria,Petrol,AUT
2020,402.4,Austria,Petrol,AUT
2020,405.73,Austria,Petrol,AUT
2020,394.9,Austria,Petrol,AUT
2020,395.73,Austria,Petrol,AUT
2020,392.4,Austria,Petrol,AUT
2020,393.23,Austria,Petrol,AUT
2020,394.9,Austria,Petrol,AUT
2020,393.23,Austria,Petrol,AUT
2020,390.73,Austria,Petrol,AUT
2020,382.4,Austria,Petrol,AUT
2020,379.97,Austria,Petrol,AUT
2020,369.14,Austria,Petrol,AUT
2020,357.47,Austria,Petrol,AUT
2020,351.64,Austria,Petrol,AUT
2020,349.14,Austria,Petrol,AUT
2020,344.97,Austria,Petrol,AUT
2020,333.31,Austria,Petrol,AUT
2020,355.81,Austria,Petrol,AUT
2020,358.31,Austria,Petrol,AUT
2020,369.14,Austria,Petrol,AUT
2020,375.81,Austria,Petrol,AUT
2020,411.64,Austria,Petrol,AUT
2020,409.14,Austria,Petrol,AUT
2020,410.81,Austria,Petrol,AUT
2020,399.14,Austria,Petrol,AUT
2020,470.81,Austria,Petrol,AUT
2020,493.31,Austria,Petrol,AUT
2020,515.81,Austria,Petrol,AUT
2020,503.31,Austria,Petrol,AUT
2020,507.47,Austria,Petrol,AUT
2020,516.64,Austria,Petrol,AUT
2020,527.47,Austria,Petrol,AUT
2020,534.14,Austria,Petrol,AUT
2020,542.47,Austria,Petrol,AUT
2020,538.31,Austria,Petrol,AUT
2019,529.97,Austria,Petrol,AUT
2019,544.97,Austria,Petrol,AUT
2019,542.47,Austria,Petrol,AUT
2019,539.14,Austria,Petrol,AUT
2019,538.31,Austria,Petrol,AUT
2019,543.31,Austria,Petrol,AUT
2019,534.14,Austria,Petrol,AUT
2019,534.14,Austria,Petrol,AUT
2019,533.31,Austria,Petrol,AUT
2019,539.14,Austria,Petrol,AUT
2019,546.64,Austria,Petrol,AUT
2019,543.31,Austria,Petrol,AUT
2019,564.14,Austria,Petrol,AUT
2019,544.14,Austria,Petrol,AUT
2019,544.97,Austria,Petrol,AUT
2019,534.14,Austria,Petrol,AUT
2019,539.14,Austria,Petrol,AUT
2019,537.47,Austria,Petrol,AUT
2019,545.81,Austria,Petrol,AUT
2019,561.64,Austria,Petrol,AUT
2019,559.14,Austria,Petrol,AUT
2019,561.64,Austria,Petrol,AUT
2019,568.31,Austria,Petrol,AUT
2019,564.14,Austria,Petrol,AUT
2019,551.64,Austria,Petrol,AUT
2019,544.97,Austria,Petrol,AUT
2019,559.14,Austria,Petrol,AUT
2019,562.47,Austria,Petrol,AUT
2019,594.14,Austria,Petrol,AUT
2019,600.81,Austria,Petrol,AUT
2019,594.97,Austria,Petrol,AUT
2019,586.64,Austria,Petrol,AUT
2019,579.97,Austria,Petrol,AUT
2019,583.31,Austria,Petrol,AUT
2019,565.81,Austria,Petrol,AUT
2019,543.31,Austria,Petrol,AUT
2019,526.64,Austria,Petrol,AUT
2019,509.97,Austria,Petrol,AUT
2019,512.47,Austria,Petrol,AUT
2019,508.31,Austria,Petrol,AUT
2019,497.47,Austria,Petrol,AUT
2019,504.14,Austria,Petrol,AUT
2019,488.31,Austria,Petrol,AUT
2019,479.14,Austria,Petrol,AUT
2019,473.31,Austria,Petrol,AUT
2019,480.81,Austria,Petrol,AUT
2019,479.97,Austria,Petrol,AUT
2019,480.81,Austria,Petrol,AUT
2019,483.31,Austria,Petrol,AUT
2018,516.64,Austria,Petrol,AUT
2018,541.64,Austria,Petrol,AUT
2018,574.97,Austria,Petrol,AUT
2018,598.31,Austria,Petrol,AUT
2018,600.81,Austria,Petrol,AUT
2018,604.14,Austria,Petrol,AUT
2018,614.14,Austria,Petrol,AUT
2018,610.81,Austria,Petrol,AUT
2018,615.81,Austria,Petrol,AUT
2018,619.97,Austria,Petrol,AUT
2018,618.31,Austria,Petrol,AUT
2018,613.31,Austria,Petrol,AUT
2018,612.47,Austria,Petrol,AUT
2018,609.97,Austria,Petrol,AUT
2018,603.31,Austria,Petrol,AUT
2018,598.31,Austria,Petrol,AUT
2018,587.47,Austria,Petrol,AUT
2018,588.31,Austria,Petrol,AUT
2018,584.97,Austria,Petrol,AUT
2018,580.81,Austria,Petrol,AUT
2018,575.81,Austria,Petrol,AUT
2018,573.31,Austria,Petrol,AUT
2018,579.14,Austria,Petrol,AUT
2018,583.31,Austria,Petrol,AUT
2018,579.97,Austria,Petrol,AUT
2018,574.14,Austria,Petrol,AUT
2018,584.97,Austria,Petrol,AUT
2018,585.81,Austria,Petrol,AUT
2018,596.64,Austria,Petrol,AUT
2018,599.14,Austria,Petrol,AUT
2018,577.47,Austria,Petrol,AUT
2018,562.47,Austria,Petrol,AUT
2018,548.31,Austria,Petrol,AUT
2018,541.64,Austria,Petrol,AUT
2018,527.47,Austria,Petrol,AUT
2018,520.81,Austria,Petrol,AUT
2018,510.81,Austria,Petrol,AUT
2018,485.81,Austria,Petrol,AUT
2018,474.14,Austria,Petrol,AUT
2018,474.97,Austria,Petrol,AUT
2018,489.97,Austria,Petrol,AUT
2018,490.81,Austria,Petrol,AUT
2018,502.47,Austria,Petrol,AUT
2018,504.97,Austria,Petrol,AUT
2018,514.97,Austria,Petrol,AUT
2018,514.14,Austria,Petrol,AUT
2018,510.81,Austria,Petrol,AUT
2018,512.47,Austria,Petrol,AUT
2018,510.81,Austria,Petrol,AUT
2018,510.81,Austria,Petrol,AUT
2017,501.64,Austria,Petrol,AUT
2017,499.14,Austria,Petrol,AUT
2017,508.31,Austria,Petrol,AUT
2017,505.81,Austria,Petrol,AUT
2017,515.81,Austria,Petrol,AUT
2017,519.97,Austria,Petrol,AUT
2017,501.64,Austria,Petrol,AUT
2017,485.81,Austria,Petrol,AUT
2017,484.97,Austria,Petrol,AUT
2017,484.14,Austria,Petrol,AUT
2017,490.81,Austria,Petrol,AUT
2017,493.31,Austria,Petrol,AUT
2017,490.81,Austria,Petrol,AUT
2017,493.31,Austria,Petrol,AUT
2017,503.31,Austria,Petrol,AUT
2017,489.14,Austria,Petrol,AUT
2017,466.64,Austria,Petrol,AUT
2017,465.81,Austria,Petrol,AUT
